Timestamp,I feel calm,I feel secure ,I feel tense,I feel strained ,I feel at ease ,I feel upset,I am presently worrying over possible misfortunes ,I feel satisfied ,I feel frightened ,I feel uncomfortable,I feel self confident,I feel nervous ,I feel jittery,I feel indecisive,I am relaxed,I feel content,I am worried ,I feel confused,I feel steady,I feel pleasant 
11/16/2024 18:40:15,4,4,1,1,4,1,2,3,1,1,3,1,1,2,4,2,3,1,3,3
11/16/2024 20:43:05,4,4,1,1,4,4,1,4,1,1,2,1,1,1,4,2,1,2,3,3
11/17/2024 13:14:30,2,2,3,3,1,1,3,3,1,1,2,3,3,2,3,3,4,2,2,3
11/19/2024 23:51:23,3,3,2,2,2,1,2,3,2,2,2,2,2,3,2,3,3,3,3,2
11/19/2024 23:56:11,1,3,4,4,1,2,4,2,3,1,1,4,4,4,1,2,4,1,2,2
11/19/2024 23:58:31,3,2,4,4,2,1,3,3,1,1,2,4,3,3,2,2,3,3,2,2
11/20/2024 0:02:41,3,2,4,4,2,3,3,2,4,2,2,3,3,4,2,2,3,3,2,2
11/20/2024 0:13:47,1,2,3,3,2,1,2,2,1,1,2,2,1,2,2,2,3,3,1,2
11/20/2024 0:15:47,4,4,3,3,4,3,1,2,1,1,4,3,1,1,3,3,2,2,3,3
11/20/2024 0:16:26,2,3,4,2,3,2,2,3,1,2,3,3,3,2,3,3,3,1,4,4
11/20/2024 0:30:03,3,4,3,2,2,2,1,3,2,1,3,2,1,4,3,3,2,1,3,3
11/20/2024 0:51:44,2,3,3,4,2,1,3,3,3,3,4,4,4,3,2,3,3,3,2,3
11/20/2024 1:05:25,3,3,3,3,3,2,2,2,1,1,3,1,2,1,3,3,3,1,3,3
11/20/2024 1:11:54,3,3,3,2,3,2,1,3,2,2,3,3,3,2,2,4,2,2,3,3
11/20/2024 3:30:02,2,3,3,1,2,2,3,1,2,2,1,2,3,3,2,1,4,2,3,3
11/20/2024 7:52:16,4,4,3,3,3,2,1,4,1,3,2,2,2,3,2,4,2,2,4,4
11/20/2024 8:02:51,3,3,3,2,3,2,3,3,2,1,3,3,2,2,2,3,2,2,2,3
11/20/2024 8:17:25,4,4,1,1,3,1,1,4,1,1,4,1,1,3,4,4,3,1,4,4
11/20/2024 11:35:35,3,3,2,3,3,1,2,3,1,1,3,1,1,2,3,3,2,1,3,3
11/20/2024 13:17:39,3,4,2,2,3,2,2,3,1,1,3,2,1,1,3,3,2,2,3,3
11/20/2024 17:06:54,4,4,1,1,4,1,3,3,2,2,4,1,1,2,4,4,1,1,4,4
11/20/2024 20:31:40,2,2,3,3,2,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3
11/21/2024 14:44:39,3,3,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3
11/22/2024 19:07:06,2,4,3,4,2,2,1,3,1,3,4,2,3,1,3,2,3,3,2,3
11/23/2024 3:44:39,4,4,1,1,4,1,1,4,1,1,4,1,2,1,4,4,1,1,2,4
11/23/2024 10:05:29,4,4,2,2,3,2,1,4,1,2,3,1,1,1,3,3,1,1,3,4