Timestamp,Stricter environmental laws and regulations are worth the cost.,I feel distressed when I see news related to environmental disasters.,I believe that environmental issues will negatively impact my future quality of life.,I worry that the planet will not be livable for future generations.,"Companies should be held accountable for their environmental impact, even if it increases the prices of goods.",I sometimes avoid learning about environmental issues because it feels too distressing.,I feel hopeless about the possibility of reversing the effects of climate change.,I feel overwhelmed by the amount of information about climate change and environmental problems.,I believe governments should prioritize climate change over economic growth.,"I feel guilty if I engage in activities that harm the environment, even minimally."
11/16/2024 18:40:15,5,3,4,3,5,1,4,1,5,5
11/16/2024 20:43:05,4,2,5,5,4,3,3,3,4,2
11/17/2024 13:14:30,5,4,5,5,5,5,5,5,5,5
11/19/2024 23:51:23,4,4,5,4,4,3,3,3,4,4
11/19/2024 23:56:11,5,5,5,5,5,4,4,4,4,4
11/19/2024 23:58:31,4,3,4,3,5,3,3,3,3,2
11/20/2024 0:02:41,4,4,4,5,5,5,5,5,5,5
11/20/2024 0:13:47,4,5,5,4,4,1,1,1,4,5
11/20/2024 0:15:47,5,5,5,5,5,5,5,5,5,5
11/20/2024 0:16:26,5,5,5,4,5,4,4,5,4,5
11/20/2024 0:30:03,5,5,3,3,5,1,3,5,4,4
11/20/2024 0:51:44,5,4,5,5,4,2,4,2,3,5
11/20/2024 1:05:25,5,5,5,5,4,4,1,3,4,5
11/20/2024 1:11:54,4,3,3,5,4,3,2,2,3,3
11/20/2024 3:30:02,5,4,5,4,5,3,2,3,5,4
11/20/2024 7:52:16,4,3,4,2,4,2,2,3,2,4
11/20/2024 8:02:51,5,5,5,5,5,1,3,2,5,4
11/20/2024 8:17:25,5,5,5,5,5,1,4,3,4,5
11/20/2024 11:35:35,5,5,5,4,4,4,4,4,5,4
11/20/2024 13:17:39,4,2,4,4,4,3,2,1,3,3
11/20/2024 17:06:54,5,5,5,5,5,4,4,4,5,3
11/20/2024 20:31:40,5,4,5,4,4,4,3,3,4,4
11/21/2024 14:44:39,4,4,4,4,4,4,2,3,2,3
11/22/2024 19:07:06,4,2,4,2,4,2,1,1,4,2
11/23/2024 3:44:39,5,2,3,3,4,1,2,1,3,3
11/23/2024 10:05:29,3,2,2,2,2,2,2,2,2,2